,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,screen_name,happy_img_idx,angry_img_idx,person_name,clean_text,binaryLabel,rq,cluster_labels,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,m0_anger,m0_happiness,m0_calm,m1_disgust,m1_sadness,m1_surprise,dpfc_angry,dpfc_disgust,dpfc_fear,dpfc_happy,dpfc_sad,dpfc_surprise,dpfc_neutral
10,10,10,15,17,167,30210,NBCNews,9355,14082,Hillary Clinton,"Hillary Clinton says ""the world has never needed your voices more"" in Women's Media Center acceptance speech.",Real,2,100,2.4,4.7,134.7,-0.247,0.042,0.147,1.13,0.6,0.57,0.5,0.19,0,0,0.06,0,0,1.95,0,1.94,0,0,0.49,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0.491155565,0.321278751,0.187565714,0.056074508,0.94392544,0,0.000186786,2.45E-10,0.003693255,0.000148531,0.002466322,2.61E-06,0.993502557
11,11,11,16,18,168,35628,CNNPolitics,9359,13883,Hillary Clinton,Hillary Clinton's campaign and the DNC signed a memo that set rules on funds she raised for the general election…,Real,2,100,8.7,10.9,144.1,-0.101,0.181,-0.043,0.9,0.01,0.92,1.19,0.18,0.32,0,0.38,0,0,0.31,0,1.27,0,1.65,1.42,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0.303102285,0.642619908,0.054277815,0.105259366,0.3654688,0.529271841,0.001477527,3.70E-09,0.005128028,0.991414964,0.001065068,0.000865338,4.90E-05
12,12,12,18,20,170,24174,guardian,9788,14232,Hillary Clinton,Democrat official considered replacing Hillary Clinton with Joe Biden,Real,2,100,18,4.8,142.3,-0.152,-0.103,-0.15,0,0,0.18,0.08,1.23,1.93,0.33,0.91,2.21,0,0,0,0,0,1.04,0.54,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0.252018899,0.747981131,0,0.048727378,0.930159628,0.021112975,2.09E-10,1.75E-22,1.99E-11,0.999994755,4.08E-07,3.35E-07,4.55E-06
13,13,13,19,21,171,33252,NBCPolitics,9575,13391,Hillary Clinton,Memo reveals details of Hillary Clinton-DNC deal,Real,2,100,3.9,5,132.9,0.025,-0.079,0.129,1,0,0.08,1.11,0,0.31,0,0,0.07,0.26,1.03,0.68,0,0,0.58,0.97,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0.354893357,0.642289996,0.002816683,0.054997016,0.420038879,0.524964094,0.009628474,1.48E-07,0.370013297,0.03367791,0.553928316,0.013223235,0.019528607
14,14,14,20,22,172,32587,Jerusalem_Post,13493,14080,Hillary Clinton,Former WH official Gorka compares Hillary Clinton to Russian spies,Real,2,100,6,10.4,139.2,-0.081,0.264,-0.004,1.58,1.41,1.1,3.54,0.4,0,0,0.2,0.47,0.55,0.04,0,0.6,0,1.73,1.31,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0.19128634,0.808713675,0,0,0,1,0.000215791,9.57E-08,0.12678124,0.862345397,0.001810661,0.008843259,3.54E-06
15,15,15,22,24,174,34978,MiamiHerald,14271,14163,Hillary Clinton,"Portrait of Hillary Clinton set off security dogs, briefly shutting down Art Miami tent",Real,2,100,-3.1,16.5,130,-0.152,0.014,0.012,0.77,0,0.87,1.17,0.31,1.04,0.99,1.11,0.99,0.62,0.02,0.27,0,0.3,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0.405938834,0.594061196,0,0.047807809,0.466572762,0.485619426,4.75E-06,8.73E-16,0.472682238,0.035761412,0.000286992,2.59E-05,0.491238683
16,16,16,23,25,175,33453,globeandmail,9234,14141,Hillary Clinton,"Former DNC head considered replacing Hillary Clinton with Joe Biden, according to memoir",Real,2,100,9.9,1.8,162.2,-0.027,0.301,0.018,0.61,0,0,0,0.08,0.43,0.14,0.57,0,0.18,0.27,0,0.62,0,0.94,1.62,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0.384859592,0.40389967,0.211240724,0,0.882032812,0.117967196,0.000167242,1.85E-10,9.94E-05,0.000486698,0.270147622,6.97E-07,0.72909838
17,17,17,24,26,176,28693,BuzzFeedNews,13543,13950,Hillary Clinton,"Before interviewing Hillary Clinton in January 2016, MSNBC “Hardball"" host Chris Matthews turned to staffers and as…",Real,2,100,-1.4,15.6,137.9,-0.01,0.318,0.152,1.28,0,0.34,0.41,0,0,0,0,0,0.73,0.2,0,0.24,0,0.29,0.99,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.39777413,0.404233038,0.197992846,0.134536877,0,0.865463138,0.057619903,0.001201066,0.399524331,0.00047271,0.48943907,0.007914548,0.043828394
18,18,18,25,27,177,32720,nypost,14244,14070,Hillary Clinton,The Trump administration is launching another probe into Hillary Clinton’s use of a private email server when she w…,Real,2,100,-2.8,16.2,147.6,-0.182,0.178,-0.002,1.12,0.78,0.17,1.55,0,0,0,0,0,0,1.13,0,0.65,0,0,0.66,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.291830808,0.585220337,0.122948907,0,0,1,0.024952237,2.38E-08,0.895198405,2.15E-07,0.000124654,0.07969977,2.47E-05
19,19,19,27,31,181,33249,CNNPolitics,9253,9844,Hillary Clinton,"Trump campaign aide George Papadopoulos' suspected middleman had ""dirt"" on Hillary Clinton, a source says…",Real,2,100,17.2,17.8,154.8,-0.154,0.026,-0.071,1.03,0.91,0,1.19,0,0.06,0,0,0,0.6,0.95,1.12,1.33,0.34,0,0.84,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0.462216735,0.363257468,0.174525827,0.021806946,0.935536861,0.042656209,0.00069209,3.92E-08,0.14063409,0.424557269,0.000912225,0.254330635,0.178873643
20,20,20,28,32,182,2058,WashTimes,10073,14289,Hillary Clinton,Joe Biden says DNC never approached him to replace Hillary Clinton,Real,2,100,11.9,8.1,151.3,-0.221,0.206,0.174,1.05,0.69,0,1.63,0,0,0,0,0,0,0,0,0,0.25,0.35,1.79,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0.464124024,0.324799806,0.211076215,0.023423893,0.77528125,0.201294839,0.007716818,2.21E-07,0.953024328,0.000121872,0.024810584,0.013958114,0.00036797
21,21,21,30,34,184,30222,Independent,9068,13411,Hillary Clinton,People think Disney prepared a Hillary Clinton robot for their 'Hall of Presidents' then had to change it last minu…,Real,2,100,-13.2,20.4,149.4,0.034,0.35,-0.038,1.61,0.65,0,0.42,0,0,0,0.35,0.15,0.23,0.25,0,0.77,0,0.6,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0.36689195,0.314472109,0.31863597,0,0.273799896,0.726200163,0.290427476,4.16E-06,0.039713386,7.72E-06,0.161725089,3.35E-06,0.508118808
22,22,22,31,35,185,23941,WashTimes,9748,14085,Hillary Clinton,FBI originally deemed Hillary Clinton 'grossly negligent' in handling secret emails.,Real,2,100,19,15.5,127.7,0.042,-0.226,-0.026,0.91,0,1.45,1.12,1.54,1.09,0,2.1,2.51,0.9,0.39,0,0.34,0.23,0.5,0.51,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0.480215818,0.306587696,0.213196531,0,0,1,0.002636371,1.88E-12,0.583903432,2.91E-09,2.42E-05,0.401881665,0.011554305
23,23,23,32,36,186,33251,people,9726,13537,Hillary Clinton,Hillary Clinton Jokes About Going as President for Halloween (Womp Womp),Real,2,100,9.6,3.7,139.4,-0.146,0.007,-0.059,0.81,0.66,0,0.63,0,0,0,0,0,0,0.47,1.05,1.45,0.58,0,0.54,0,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0.41819042,0.37197578,0.209833771,0.040562909,0.843345106,0.116091959,1.06E-06,1.55E-12,0.016839476,0.022437887,0.000291417,0.239606366,0.720823824
24,24,24,33,37,187,29395,csmonitor,9510,14145,Hillary Clinton,"As the Democrats regroup, they will need to answer an important question about Hillary Clinton's perceived positive…",Real,2,100,8.9,11,139.5,-0.211,0.077,0.005,0,0,0.3,0.49,1.99,3.15,1.23,1.29,1.17,0,1.3,0,1.37,0,1.84,1.14,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0.364971817,0.55183351,0.083194703,0.049511481,0.950488508,0,6.16E-09,4.15E-33,4.42E-07,0.999993682,4.46E-08,5.75E-06,2.10E-16
25,25,25,34,38,188,36891,IrishTimes,9356,14172,Hillary Clinton,"Trump lashed out at his predecessor, President Barack Obama, and his former campaign opponent Hillary Clinton",Real,2,100,14.4,12.6,142,-0.174,-0.01,-0.066,0.96,0,0.45,0,1.3,0.47,0.02,1.03,1.49,0.62,0.12,0,1.02,0,1.39,0.52,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0.2581622,0.741837859,0,0.051661223,0.87433213,0.074006617,2.08E-17,5.55E-32,1.61E-14,0.992972732,1.37E-15,0.007025782,1.51E-06
26,26,26,35,39,189,34563,CBSNews,9107,14150,Hillary Clinton,The Democrat who replaced Hillary Clinton in the Senate says President Bill Clinton should have resigned over his a…,Real,2,100,0.7,10.7,131.1,-0.234,0.016,0.134,0,0,0,0,1.42,2.26,1.17,0.41,0.04,1.22,0,0,0.97,0,0,0.63,0.24,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,1,0.466972381,0.413936645,0.119090989,0.074457802,0.817830265,0.107711934,2.05E-07,1.09E-14,4.14E-06,1.97E-08,0.99007833,4.51E-15,0.009917335
27,27,27,36,40,190,32552,MotherJones,13761,14182,Hillary Clinton,Trump is getting help from Putin right now with attacks on Hillary Clinton and the Mueller investigation…,Real,2,100,3.9,17.9,134.4,-0.194,0.115,-0.008,2.31,3.6,0,2.57,0,0,0,0,0.1,0.14,0.41,0.38,0.87,0,0.22,1.81,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.399967611,0.130039155,0.469993234,0,0,1,0.005664435,1.59E-06,0.649219573,7.95E-05,0.003580441,0.340800971,0.000653498
28,28,28,37,41,191,1674,politico,13888,14076,Hillary Clinton,"President Trump took several jabs at Hillary Clinton, and singled out Senate Minority Leader Chuck Schumer's critic…",Real,2,100,9,3.2,122.9,-0.089,-0.112,-0.168,1.53,0.96,0,0.47,1.06,0,0,1.68,1.16,0.96,0,0.85,1.27,0.49,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0.399768353,0.462408602,0.137823015,0.104797497,0.895202458,0,0.070917912,1.32E-07,4.13E-05,0.035885375,0.002466826,0.297745496,0.592943013
29,29,29,38,42,192,35561,Suntimes,13778,14090,Hillary Clinton,Trump blasts Hillary Clinton on Twitter . . . after his Twitter account goes dark for 11 minutes.…,Real,2,100,3.6,16.1,135.6,-0.135,0.091,0.055,0.87,0.2,0,0.54,0.16,0.83,0,0,0,0.44,1.43,0,1.83,0,0.71,0.5,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.351795286,0.455927879,0.192276806,0.066927694,0.764062285,0.169010043,0.237524718,0.000549991,0.02405118,0.00025523,0.199992403,0.004758625,0.532867849
30,30,30,39,43,193,24261,WashTimes,13965,14084,Hillary Clinton,"""A man is tweeting to his lover that if [Democrat Hillary Clinton ] loses, we'll essentially do the insurance polic…",Real,2,100,7.9,9.7,145.6,-0.331,0.217,0.101,1.65,0.06,0.69,0.95,0,0,0.28,0,0,0.78,0.67,0,1.23,0,0,0.22,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.544287264,0.294451267,0.161261454,0.030148655,0.797380209,0.17247121,0.000436725,1.04E-08,0.023792258,0.757928073,0.206179291,0.000612577,0.011051012
31,31,31,40,44,194,22059,HuffPostPol,9452,9977,Hillary Clinton,Hillary Clinton shrugs off reminder of Comey letter anniversary in joking tweet,Real,2,100,-1.5,11.9,126.6,-0.095,0.204,0.001,0.44,0,0.33,0.7,0,0.47,0,0.24,0,0,0.94,0.69,0.8,0,0.61,1.22,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0.514127553,0.222155929,0.263716519,0.044495512,0.644308209,0.311196327,0.318157315,8.66E-09,0.673739851,1.18E-09,0.007322365,6.28E-05,0.000717624
32,32,32,41,45,195,24578,people,9398,14081,Hillary Clinton,WATCH: Jimmy Kimmel Found a Lot of People Who Think Hillary Clinton Should Be Impeached,Real,2,100,4.2,8.1,151.8,-0.111,0.235,0.142,1.05,0,0.7,0.22,0,0,0,0.61,0.27,0.9,0.01,0,1.09,0,1.08,1.36,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0.499379277,0.363608897,0.137011826,0,0.827056825,0.172943205,0.001875302,7.45E-07,0.571945131,0.244438991,0.024429323,0.052370861,0.104939662
33,33,33,42,46,196,30257,people,13913,14098,Hillary Clinton,Joe Biden Makes Little Digs at Barack Obama and Hillary Clinton in New Interview,Real,2,100,22.3,11.6,124.6,0.015,-0.184,-0.008,0,0,0,1.71,0.12,0,0,1.19,0.48,0,0.64,0,1.77,0,0.19,1.09,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0.370187223,0.629812777,0,0,0.581738412,0.418261528,5.67E-06,1.67E-17,0.999744236,4.70E-10,3.11E-06,1.82E-06,0.000245075
34,34,34,43,47,197,36268,nybooks,13422,14148,Hillary Clinton,Historian Annette Gordon-Reed takes the long view in considering Hillary Clinton’s memoir ‘What Happened’ and the p…,Real,2,100,0.6,25.2,137.8,-0.296,-0.139,0.066,1.58,0.04,0,0.52,0.28,0.46,0.25,0,0.03,0,1.52,0.09,0,0,0,0.24,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0.412455082,0.357318252,0.230226681,0,0,1,3.66E-05,1.43E-14,0.002925903,2.02E-10,0.020935638,4.80E-08,0.976101756
35,35,35,44,48,198,33409,CNNPolitics,9720,14176,Hillary Clinton,Republican House investigators want former FBI Director James Comey to testify on the Hillary Clinton email investi…,Real,2,100,-1.4,18.3,135.2,-0.161,0.033,0.01,0.17,0,0,1.14,0.19,0.44,0,0,1.18,1.42,0,0.47,0.9,0.39,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0.4698641,0.338412851,0.191722974,0.020667283,0.929783344,0.04954933,0.004884892,0.00175587,0.970679462,0.000603532,0.003419857,0.018294305,0.000362157
36,36,36,45,49,199,35729,Independent,9202,14136,Hillary Clinton,Trump answers question about possible Mueller interview by attacking Hillary Clinton,Real,2,100,12.5,28.7,134.8,-0.119,-0.182,0.142,0.08,0,0,0,1.6,2.98,0,0.28,1.14,0,2.81,0,0.17,0,3.57,0,0.68,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0.506792188,0.361935556,0.131272286,0.13223666,0.452004611,0.415758729,3.50E-07,2.82E-12,0.013832634,0.261348993,0.00022952,0.001787877,0.722800612
37,37,37,46,51,351,24366,AP,2442,5341,Kim Jong-un,"Explore @SCREEN_NAME coverage of Kim Jong Un's North Korea, including how the country is very cautiously going online.…",Real,2,132,9.2,6.7,139.9,-0.102,0.049,0.156,0.54,0.54,0.58,1.22,1.33,0,0,0,0.74,0,0.31,0.99,2.22,0,0.36,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0.37172538,0.279352546,0.348922104,0.260849088,0,0.739150941,0.25426352,3.66E-07,0.485984921,8.87E-07,0.259299427,5.88E-09,0.000450908
38,38,38,47,52,352,3633,ReutersUK,5606,5271,Kim Jong-un,A ‘madman’ or methodical tactician? @SCREEN_NAME profiles Kim Jong Un and delves into the young leader’s history…,Real,2,132,0.8,18,127.7,-0.095,-0.015,0.008,0.45,1.13,0,0,2.37,1.96,1.88,2.59,2.71,1.07,0.83,0,0,0,2.73,0.62,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0.39294365,0.557188809,0.049867555,0.183900476,0.816099524,0,0.00010695,1.94E-08,0.634064138,0.365715802,0.000112693,3.48E-07,3.25E-08
39,39,39,48,55,355,31261,CNNPolitics,3002,5355,Kim Jong-un,Secretary of State Rex Tillerson won't say whether President Trump and North Korean leader Kim Jong Un have spoken…,Real,2,132,10,13.5,146.2,-0.074,0.111,-0.066,0,0.13,0,0.12,2.11,2.52,0.94,1.48,1.83,0.83,0.18,0,0.12,0,2.5,1.02,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0.235545337,0.764454663,0,0.046614416,0.706057906,0.24732773,3.99E-06,1.70E-10,0.000295725,0.999451101,4.91E-05,0.000145505,5.47E-05
40,40,41,50,57,357,25672,TIME,5382,3422,Kim Jong-un,Who will represent Kim Jong Un at the Olympic Games?,Real,2,132,4.7,9.4,142.8,-0.012,0.151,-0.075,0.04,0.36,0,1.67,0.73,0,0,0,1.95,2.3,0,0.26,1.18,0.1,0.69,0.42,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0.355422229,0.509996891,0.13458088,0,0,1,1.06E-05,6.62E-09,9.71E-05,3.73E-07,5.41E-09,0.999891877,1.90E-10
41,41,42,51,58,358,31265,ReutersIndia,5238,5176,Kim Jong-un,Kim Jong Un has a weakness that may help Olympic officials coax North Korea to the winter Games: He loves sport…,Real,2,132,7,4.1,133.8,-0.041,0.064,-0.061,0,0.36,0,0,0,0.93,0,0,0,0,1.18,0.86,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.294417918,0.500163734,0.205418319,0.039162744,0.63456279,0.326274425,0.202129081,1.93E-05,0.0154712,1.43E-06,0.708576262,4.21E-08,0.073802769
42,42,43,52,59,359,32007,cnnbrk,2656,1975,Kim Jong-un,"Asked about the possibility of becoming friends with North Korean leader Kim Jong Un, Trump did not rule it out. ""S…",Real,2,132,-6,11.4,147.2,0.083,0.304,0.004,1.27,0.82,0,0,0.17,0.18,0,0,1.21,0.44,0.11,0.28,0.34,0,1.07,0.56,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.361828178,0.48862198,0.149549887,0,0,1,0.001384373,0.000140629,0.007062207,2.20E-05,1.32E-05,0.991376102,1.43E-06
43,43,44,53,60,360,29514,dallasnews,3093,5158,Kim Jong-un,Jourdan Lewis shares his thoughts after Donald Trump takes shot at Kim Jong Un on Twitter. #DallasCowboys |…,Real,2,132,22.6,18,129.7,-0.102,-0.227,0.111,0,0,0,0,0,0.16,0.99,1.84,0,0.12,1.59,0.5,2.42,0,0.3,0.07,0.83,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.322828233,0.589919865,0.087251864,0,0.408197045,0.591803014,2.02E-05,2.77E-15,0.999454081,1.14E-10,0.000236509,8.29E-08,0.000289017
44,44,45,54,61,361,30589,business,2564,4882,Kim Jong-un,Trump launched a stinging attack on Kim Jong Un while in South Korea,Real,2,132,22.1,18.2,128,-0.128,-0.226,0.104,0,0,0,0,0.11,0,0.19,1.03,0,0,2.2,0,1.43,0,0.49,0,0.73,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.323902249,0.582792521,0.093305282,0,0.305876613,0.694123387,2.01E-05,5.71E-15,0.999448001,2.19E-10,0.00022859,1.32E-07,0.000303295
45,45,46,55,62,362,38391,TIME,5596,5502,Kim Jong-un,"Philippine President says ""somebody has got to talk"" to Kim Jong Un",Real,2,132,4.4,7.2,144.8,-0.016,0.059,-0.092,0,0,0.6,0,2.28,3.28,1.77,1.87,1.74,0.3,0.33,0,0.11,0,2.55,0.1,0.25,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0.372531563,0.627468467,0,0,0,1,0.106696367,0.000199172,0.015310796,0.676971436,0.199601755,0.00080606,0.000414423
46,46,47,56,63,363,36579,NBCNewsWorld,2141,5261,Kim Jong-un,"President Trump on trying to become friends with Kim Jong Un: ""I think anything is a possibility. Strange things ha…",Real,2,132,3.4,13.5,156.3,0.005,0.321,-0.046,0.77,0.39,0,0,1.29,3.37,0.1,1.33,1.33,0.53,0,0,0,0,1.96,0.82,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0.348011166,0.517883718,0.134105116,0.043601297,0.656401277,0.299997389,0.185617611,0.003725714,0.016920846,0.724684834,0.004338884,0.019286944,0.045425225
