,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,screen_name,idx,clean_text,selection,binaryLabel,rq,cluster_labels,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,m0_anger,m0_happiness,m0_calm,m1_disgust,m1_sadness,m1_surprise,dpfc_angry,dpfc_disgust,dpfc_fear,dpfc_happy,dpfc_sad,dpfc_surprise,dpfc_neutral
10,10,10,10,10,11,29551,veteranstoday,29551,Speaking Truth to Empire: Interview with Cindy Sheehan - - Host Dan Yaseen talks to Cin...,happy,Fake,1,-1,8.9,12.2,144.1,0.008,0.037000000000000005,-0.079,0.6,0.0,0.79,0.0,3.65,3.26,0.73,2.96,3.86,1.61,0.0,0.0,1.47,0.02,3.52,0.67,0.0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0.399978191,0.60002178,0.0,0.0,0.0,1.0,6.389999999999999e-07,2.1099999999999998e-16,9.7e-10,0.999985695,1.46e-06,4.26e-07,1.18e-05
11,11,11,11,11,12,24011,veteranstoday,24011,Why Feminism and the New World Order Fail - - ..by Jonas E. Alexis Big Bang Th...,happy,Fake,1,-1,4.9,12.1,151.3,-0.023,-0.003,-0.011,0.0,0.02,0.82,0.0,1.09,0.0,0.49,0.99,2.14,0.44,0.0,0.0,0.0,0.0,1.85,0.68,0.0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0.326445848,0.6735541820000001,0.0,0.059588652,0.712974727,0.227436632,7.13e-11,7.53e-15,5.21e-11,0.999985099,8.83e-11,1.04e-14,1.49e-05
12,12,12,12,12,13,33218,veteranstoday,33218,"Poll: Biden Would Beat Trump by 11% in Real Election, If Such Were Possible - - ...",happy,Fake,1,89,13.3,10.4,133.6,-0.073,-0.07400000000000001,0.121,0.73,0.0,0.0,0.0,4.43,4.48,0.95,2.98,3.56,0.63,0.58,0.0,0.12,0.0,2.39,0.91,0.59,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0.183682278,0.816317677,0.0,0.0,0.606627107,0.393372893,5.59e-12,1.74e-21,1.5900000000000002e-10,0.999979615,1.97e-09,2.08e-10,2.04e-05
13,13,13,13,13,14,30329,veteranstoday,30329,Racial Justice Activist Deepa Iyer on Islamaphobia &amp; Post-9/11 State-Sanctioned Repression of Minoriti...,happy,Fake,1,-1,2.5,10.3,127.9,-0.08199999999999999,-0.016,0.135,0.0,0.0,0.0,0.0,2.12,1.58,1.49,1.23,2.11,1.59,0.65,0.0,1.57,0.0,1.84,0.0,0.0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0.33215192,0.667848051,0.0,0.013093336,0.606499553,0.380407125,4.870000000000001e-07,4.58e-17,5.99e-12,0.999974489,6.02e-08,1.07e-07,2.49e-05
14,14,14,14,14,15,29778,veteranstoday,29778,Julia Mickenberg: 'American Girls in Red Russia: Chasing the Soviet Dream' - ...,happy,Fake,1,-1,8.1,3.1,135.2,-0.032,0.016,0.006999999999999999,0.29,0.0,0.44,0.44,3.22,2.17,1.3,3.3,3.29,2.4,0.0,0.0,0.0,0.0,2.95,0.24,0.0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0.31092938800000003,0.689070582,0.0,0.0,0.0,1.0,6.02e-09,7.22e-22,1e-14,0.99984479,3.11e-10,7.05e-07,0.000154451
15,15,15,15,15,16,30999,veteranstoday,30999,"TCK Radio, ""Archbishop Lefebvre: The Antichrist Approaches"" - - Join me for the next ho...",happy,Fake,1,-1,2.3,12.3,138.0,-0.08900000000000001,-0.065,-0.097,1.35,0.0,0.0,1.19,2.5,2.17,0.0,0.27,1.93,2.84,0.0,1.48,0.02,1.68,0.57,2.19,0.01,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0.420852304,0.579147756,0.0,0.200541586,0.29580617,0.503652275,0.000254405,8.67e-09,1.52e-06,0.999712169,3.11e-05,2.71e-13,7.709999999999998e-07
16,16,16,16,16,18,29517,veteranstoday,29517,"Speaking Truth to Empire with Medea Benjamin - - Dan Yaseen interviews Medea Benjamin, ...",happy,Fake,1,-1,13.6,8.8,140.4,-0.078,0.047,-0.021,0.71,0.46,1.16,0.6,0.35,0.0,0.0,0.51,0.49,1.81,0.47,0.79,2.38,0.0,0.6,0.51,0.0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0.435656309,0.479647398,0.084696293,0.003742747,0.127865061,0.868392229,7.17e-06,6.98e-10,6.58e-06,0.999364316,0.000401892,0.000115259,0.000104803
17,17,17,17,17,19,27823,veteranstoday,27823,"Singer Seal: Oprah Winfrey, please, not now! ...",happy,Fake,1,88,10.9,14.1,139.6,-0.075,0.039,-0.102,0.0,0.0,0.0,0.0,0.72,0.0,0.51,0.63,1.84,1.89,0.27,0.21,0.55,0.0,1.49,0.17,0.0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0.217610404,0.782389641,0.0,0.236911714,0.566391647,0.196696565,7.219999999999999e-09,1.5099999999999999e-15,3.59e-07,0.998682082,1.32e-05,0.001288021,1.64e-05
18,18,18,18,18,20,37437,veteranstoday,37437,Did Ron Paul kiss Benjamin Netanyahu’s hind end? - - …by Jonas E. Alexis and Mark ...,happy,Fake,1,78,16.7,17.8,134.3,0.006,-0.015,0.105,0.0,0.0,0.0,0.61,2.51,3.09,2.28,1.09,2.22,2.09,0.0,0.61,0.0,0.81,0.64,0.77,0.0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0.277343661,0.72265631,0.0,0.105801269,0.743422985,0.150775775,0.000127164,2.2000000000000002e-10,0.001303011,0.998555243,3.570000000000001e-07,3.32e-09,1.4300000000000005e-05
19,19,19,19,19,21,26771,veteranstoday,26771,"TRUTH JIHAD: Brendon O'Connell celebrates release from political prison, recounts ordeal ...",happy,Fake,1,-1,1.1,31.6,129.5,-0.02,0.021,0.03,0.0,0.0,0.0,0.0,1.94,2.2,0.52,0.81,1.93,1.29,0.33,0.0,0.92,0.0,2.39,0.14,0.35,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0.30014050000000003,0.69985944,0.0,0.13690263,0.319166481,0.543930948,3.14e-05,1.2e-07,1.41e-07,0.998554289,0.001277735,4.63e-10,0.00013625899999999998
20,20,20,20,20,22,26242,veteranstoday,26242,How Alternative Assets Can Help Protect Your Retirement - - Let's talk about some cruc...,happy,Fake,1,-1,2.7,32.7,145.9,-0.098,0.124,-0.099,0.54,0.83,1.21,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.81,0.0,0.0,0.0,2.4,1.67,0.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0.163069054,0.8369309309999999,0.0,0.023514101000000003,0.0,0.976485908,1.77e-05,9.14e-10,0.001223025,0.99838984,6.55e-05,3.4e-05,0.000269946
21,21,21,21,21,23,32779,veteranstoday,32779,McDonald's: Now Hiring for PA and DE Locations!!! - - We are growing rapidly and are s...,happy,Fake,1,-1,8.8,1.2,134.0,-0.024,0.022,0.002,1.96,0.99,0.27,0.64,1.41,1.77,0.0,0.57,1.9,1.47,0.19,0.0,1.99,0.0,2.26,0.0,0.0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0.343497843,0.6565021870000001,0.0,0.146124125,0.0,0.853875875,3.97e-06,1.5e-09,1.23e-07,0.997742176,1.31e-05,5.56e-05,0.002185082
22,22,22,22,22,24,30465,veteranstoday,30465,"TradCatKnight Radio, ""Francis Is An Infidel"" - - Find out why Francis is a true antipop...",happy,Fake,1,68,4.5,10.5,134.8,0.094,-0.07200000000000001,0.195,1.95,0.15,0.0,1.35,2.61,1.95,1.1,2.56,2.85,1.35,0.0,0.0,0.05,0.0,1.7,0.0,0.0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0.303166986,0.696833074,0.0,0.009681025,0.355579138,0.6347398160000001,0.003950174,1.24e-08,0.000171541,0.995786011,2.24e-08,4.03e-05,5.19e-05
23,23,23,23,23,25,27501,veteranstoday,27501,NEO - Major Beijing BRI Security Fiasco Emerging ...,happy,Fake,1,-1,11.1,11.8,134.6,-0.28300000000000003,-0.244,-0.018000000000000002,0.6,0.0,0.0,1.79,0.0,0.56,0.0,0.15,0.0,1.36,1.43,0.0,1.83,0.43,0.0,1.1,0.0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0.366618931,0.509548903,0.123832174,0.146980807,0.506926954,0.346092254,7.93e-07,3.4400000000000007e-12,4.440000000000002e-08,0.991485775,0.000127997,0.0005361459999999999,0.007849245
24,24,24,24,24,26,31797,veteranstoday,31797,Veterans Day For Families - - Novelist Andy Symonds writes a piece that focuses on the...,happy,Fake,1,-1,5.3,11.9,128.4,-0.028,0.003,0.103,0.43,0.0,0.0,0.63,2.14,0.41,0.0,2.34,3.02,1.27,0.0,0.0,0.0,0.0,1.79,0.0,0.0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0.359095007,0.640904963,0.0,0.07988660000000003,0.5441262720000001,0.3759871420000001,9.1e-06,3.06e-11,1.79e-08,0.991308391,1.77e-06,6.13e-09,0.008680814
25,25,25,25,25,27,30328,veteranstoday,30328,"World-Renowned Economist James K. Galbraith on Greece, the Austerity Movement, and 'The End of Normal'...",happy,Fake,1,-1,8.4,12.7,137.1,-0.229,-0.08800000000000001,0.042,0.44,0.0,0.0,0.85,1.66,2.18,1.38,1.17,0.37,1.63,1.41,0.75,0.04,0.4,0.0,0.0,0.0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0.412071079,0.54853797,0.03939094,0.22707054,0.67036134,0.102568112,0.010446587,3.4000000000000007e-09,0.000487748,0.988923371,0.00014177,4.41e-11,5.660000000000001e-07
26,26,26,26,26,28,33496,veteranstoday,33496,NEO - Theresa May jumps the Russia bashing band wagon again - - PM Theresa May uses Rus...,happy,Fake,1,122,-1.0,16.1,154.7,0.237,-0.095,0.029,0.2,0.0,0.27,0.0,1.95,1.62,1.57,1.49,1.75,2.41,0.22,0.0,0.68,0.48,1.38,0.81,0.0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0.473751754,0.502483547,0.023764636,0.220786691,0.134788916,0.6444244379999999,1.7199999999999998e-05,3.15e-06,9.26e-07,0.986847579,3.3e-05,4.12e-06,0.013094082
27,27,27,27,27,29,33857,veteranstoday,33857,"Truth Jihad: Robert David Steele on ""War in the Middle East"" - - It is obvious to every...",happy,Fake,1,-1,11.3,10.9,124.3,-0.156,-0.064,-0.008,0.46,0.0,0.15,0.0,1.89,3.7,1.58,1.67,0.9,0.0,2.84,1.9,1.2,0.37,0.31,1.03,1.66,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0.493519098,0.334885329,0.171595544,0.132484496,0.8675155040000001,0.0,0.000159786,8.87e-09,0.000321904,0.981938243,0.01662706,7.23e-05,0.000880641
28,28,28,28,28,30,29799,veteranstoday,29799,The Kennedy Papers - - The latest releases about the Kennedy Assassination are fas...,happy,Fake,1,91,-9.5,20.6,136.2,-0.102,0.106,-0.05,0.0,0.0,0.84,0.0,2.55,0.62,1.1,2.88,2.41,1.49,0.88,0.0,0.58,0.0,2.2,0.0,0.02,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0.358361781,0.51516068,0.126477569,0.008424179,0.881059468,0.110516384,2.82e-06,2.56e-08,9.36e-06,0.972661018,2.52e-05,9.47e-05,0.027206775
29,29,29,29,29,31,37387,veteranstoday,37387,"Zionism, is White Nationalism is Bolshevism, the real ""Right"" - - By Gordon Duff, ...",happy,Fake,1,-1,5.3,18.2,127.4,-0.07400000000000001,-0.031,0.064,0.0,0.0,0.0,1.15,2.13,1.19,0.0,1.89,3.55,2.54,0.84,0.42,1.85,0.4,1.96,2.3,0.71,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0.236145884,0.7638540859999999,0.0,0.028529191,0.481743604,0.48972711,7.09e-05,2.36e-10,0.011563633,0.961182714,0.025897644,0.001193281,9.18e-05
30,30,30,30,30,32,32651,veteranstoday,32651,"Saudis ""moving out of oil, terrorism, and corruption"" – what will be left ofqu their economy?! - ... - If Bin S...",happy,Fake,1,128,-9.7,15.8,130.2,-0.046,0.115,-0.172,0.48,0.0,0.06,0.0,1.72,1.25,0.31,2.5,2.12,2.96,1.12,1.08,0.0,1.67,1.22,0.76,0.25,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0.619753838,0.196011066,0.184235141,0.050785165,0.166335806,0.782879055,2.54e-05,4.29e-09,0.00013661,0.922120452,0.000251208,0.000714443,0.07675191
31,31,31,31,31,33,24285,veteranstoday,24285,"At this point, it is easier to find someone on Mueller’s team that doesn’t have a conflict of interest - ... - ...",happy,Fake,1,-1,7.0,13.2,137.7,-0.184,0.093,0.123,0.65,1.56,0.0,0.08,0.14,0.0,0.0,0.37,0.93,1.08,0.36,0.13,0.73,0.0,0.01,0.0,0.0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0.29703036,0.696939766,0.006029802,0.017971134,0.982028902,0.0,4.53e-08,1.19e-14,1.72e-07,0.907745838,1.54e-06,3.18e-07,0.092252091
32,32,32,32,32,34,32434,veteranstoday,32434,"Busted: Fake News Hoax Ties Brits to Syria Gas Murders - - By Gordon Duff, Senior Edito...",happy,Fake,1,-1,24.5,14.3,148.6,0.085,-0.055,-0.034,0.54,0.17,1.13,0.6,2.12,3.29,1.89,1.42,2.04,1.68,0.0,0.0,0.26,0.25,0.79,0.0,0.0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0.472472996,0.29111892,0.236408129,0.0,0.0,1.0,0.001765806,8.76e-06,0.002693354,0.885268927,0.025209658,0.005370569,0.079682998
33,33,33,33,33,35,36627,veteranstoday,36627,"NEO - Hariri backtracks, Prince Salman goes quiet, and Lebanon takes a breath - - Jim W...",happy,Fake,1,90,15.8,12.6,140.1,-0.17,-0.043,0.057,0.0,0.0,0.0,0.0,0.12,0.0,0.31,0.03,0.22,0.32,0.0,0.24,0.66,0.0,0.0,0.0,0.0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0.369846731,0.368286937,0.261866331,0.037632048,0.514752209,0.447615802,0.046373263,4.22e-08,0.0030243970000000003,0.863828897,0.014631564,0.057212874,0.014928997
34,34,34,34,34,36,24114,veteranstoday,24114,The Debate - Trump Al-Quds Decision - - Jim W. Dean - Fortunately I was on familiar gro...,happy,Fake,1,-1,1.7,9.4,124.8,-0.058,-0.012,-0.019,0.0,0.0,0.0,0.75,0.99,0.08,0.0,0.0,0.61,0.95,0.0,0.51,2.85,0.22,0.0,0.0,0.0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0.491409153,0.417805761,0.090785086,0.13921883699999998,0.214460358,0.646320879,0.044068616,0.001381812,0.013780257,0.848997653,0.014875413,0.018982846,0.057913367
35,35,35,35,35,37,29496,veteranstoday,29496,TRADCATKNIGHT INTERVIEWS BRIAN MCCALL ON THE CRISIS IN THE CHURCH - - TRADCATKNIGHT INT...,happy,Fake,1,-1,1.5,15.4,148.0,-0.159,-0.019,0.046,0.0,0.0,0.73,0.0,1.82,0.0,0.59,0.71,1.88,0.37,0.0,0.0,1.21,0.0,0.92,0.0,0.0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0.289423257,0.7105767129999999,0.0,0.172570065,0.745221019,0.082208999,0.001253311,2.53e-09,4.54e-07,0.844755769,0.096742414,8.1e-07,0.057247162
36,36,36,36,36,38,29884,veteranstoday,29884,The History of Rock &amp; Roll - - Ward has done commentary on Fresh Air for the...,happy,Fake,1,-1,10.6,8.1,139.2,-0.103,0.065,0.054000000000000006,0.0,0.0,2.43,0.56,0.82,2.64,0.75,0.18,0.15,1.42,0.91,0.67,3.15,0.58,0.0,0.6,0.1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0.470506221,0.466327429,0.06316638,0.136782184,0.4256019,0.437615991,5.600000000000001e-05,1.5699999999999997e-10,2.28e-05,0.8124699000000001,0.007376189,5.68e-07,0.180074558
37,37,37,37,37,39,21889,veteranstoday,21889,Navy SEAL and Award-Winning Author Deliver Riveting SpecOps Thriller -...,happy,Fake,1,-1,10.7,14.0,139.7,-0.046,0.129,-0.039,1.16,0.0,0.07,2.89,0.0,0.0,0.0,0.0,0.0,1.52,0.16,1.09,0.01,0.18,0.0,0.58,0.0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0.387203395,0.587611616,0.025184983,0.0,0.0,1.0,0.006145755,9.03e-05,0.00145583,0.805519104,0.134181097,8.95e-06,0.052598998
38,38,38,38,38,40,28071,veteranstoday,28071,"In which I try to say something nice about our beloved President Trump, and compare him to Muhammad Ali ...",happy,Fake,1,-1,13.5,31.4,142.0,-0.13699999999999998,0.123,-0.16,0.73,0.61,0.77,1.93,0.31,0.58,0.0,0.46,0.56,0.58,1.13,1.64,0.92,0.47,0.63,0.18,0.0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.335482568,0.626142204,0.03837524,0.0,0.0,1.0,0.000407765,4.07e-07,0.000819208,0.786382198,0.0073477909999999985,1.05e-05,0.20503214
39,39,39,39,39,41,31669,veteranstoday,31669,ABA: Indiana prosecutor suspended 4 years for eavesdropping on attorney-client conversations - ... - BY DEBR...,happy,Fake,1,-1,3.7,10.7,112.4,-0.054000000000000006,0.0,0.058,0.34,0.53,1.94,2.38,0.78,0.16,0.0,0.23,0.94,0.51,0.92,0.99,0.42,1.17,0.0,0.0,0.0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0.258782387,0.741217613,0.0,0.0,0.0,1.0,0.011639613,4.09e-05,0.001711241,0.780529857,0.03547769,1.85e-05,0.17058228
40,40,40,40,40,42,27157,veteranstoday,27157,Mossad and SITE Intelligence Inadvertently Confess to Commanding ISIS ...,happy,Fake,1,-1,30.4,16.5,151.1,-0.027000000000000003,-0.103,0.035,0.23,0.0,0.0,0.0,0.08,1.28,0.18,0.91,0.0,0.0,0.16,0.23,0.33,0.0,0.0,0.0,0.0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0.300366759,0.607843339,0.091789879,0.0,0.0,1.0,0.000608789,2.1e-05,0.005715511,0.754616618,0.000789726,0.012037407,0.226210907
41,41,41,41,41,43,29762,veteranstoday,29762,Kurdistan disaster brings Barzani down - - Jim W. Dean - This move may turn out to be a...,happy,Fake,1,83,3.3,28.3,152.1,0.07400000000000001,0.214,-0.099,1.7,0.0,1.54,0.08,1.16,0.0,0.0,1.05,1.73,1.17,0.0,0.24,0.65,0.13,0.54,0.0,0.01,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0.380488992,0.533978999,0.08553204699999999,0.17614918899999998,0.35991931,0.463931471,0.010756386,0.001097218,0.062731311,0.7449836129999999,0.038856227,0.033589654,0.107985653
42,42,42,42,42,44,24305,veteranstoday,24305,Exclusive: Dangerous Phase of Terrorism: Trump’s Israeli Connections Proved - - By...,happy,Fake,1,78,10.0,11.1,148.2,0.05,0.07200000000000001,-0.034,0.0,0.0,0.0,0.28,0.81,0.66,0.6,1.14,1.06,1.07,0.36,0.0,1.67,0.0,1.4,0.78,0.0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0.435042471,0.5557717679999999,0.009185741,0.172431841,0.827568173,0.0,0.092570581,0.001317675,0.109892659,0.613451779,0.154506862,0.0077096130000000014,0.020550938
43,43,43,43,43,45,25676,veteranstoday,25676,"UN Vote Sinks America's World Role - - By Gordon Duff, Senior Editor 128 nations, in...",happy,Fake,1,129,8.4,16.2,144.2,-0.125,-0.16399999999999998,-0.012,0.0,0.0,1.12,0.0,1.51,1.36,1.92,2.55,1.13,0.43,1.53,0.0,1.67,0.0,2.08,0.27,2.02,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0.360795587,0.591601968,0.0476024,0.245553419,0.369791895,0.384654731,0.013410102,0.000842685,0.325318515,0.576923251,0.046668518,0.026908375,0.0099286
